name,handle,public_date,raw_body,body_text,summary_text,sources,industry_ids,,,
frankie shaw,,17-Dec-18,"<div class=""info-body"">
<p>Publicly reported
              December 17, 2018</p>
<p>Multiple staffers have said she mishandled sex scenes, and one says she took off her own shirt in a dispute over onscreen nudity.</p>
</div>","Publicly reported.        December 17, 2018. Multiple staffers have said she mishandled sex scenes, and one says she took off her own shirt in a dispute over onscreen nudity.","Multiple staffers have said she mishandled sex scenes, and one says she took off her own shirt in a dispute over onscreen nudity",['https://www.hollywoodreporter.com/news/smilf-creator-frankie-shaw-investigated-misconduct-claims-1170077'],arts-entertainment,,,
michael weatherly,@M_Weatherly,13-Dec-18,"<div class=""info-body"">
<p>Publicly reported
              December 13, 2018</p>
<p>A co-star says he made inappropriate comments to her, including a rape joke. After she confronted him, she was written off the show.</p>
</div>","Publicly reported.        December 13, 2018. A co-star says he made inappropriate comments to her, including a rape joke. After she confronted him, she was written off the show.","A co-star says he made inappropriate comments to her, including a rape joke. After she confronted him, she was written off the show",['https://www.nytimes.com/2018/12/13/business/media/cbs-bull-weatherly-dushku-sexual-harassment.html'],arts-entertainment,,,
steven wilder striegel,,6-Sep-18,"<div class=""info-body"">
<p>Publicly reported
              September  6, 2018</p>
<p>A woman has said he sexually abused her when she was 14. He pleaded guilty to two felonies in 2010 in connection with the allegations, and served six months in jail. 20th Century Fox has deleted a scene featuring him from The Predator.</p>
</div>","Publicly reported.        September 6, 2018. A woman has said he sexually abused her when she was 14. He pleaded guilty to two felonies in 2010 in connection with the allegations, and served six months in jail. 20th Century Fox has deleted a scene featuring him from The Predator.","A woman has said he sexually abused her when she was 14. He pleaded guilty to two felonies in 2010 in connection with the allegations, and served six months in jail. 20th Century Fox has deleted a scene featuring him from The Predator","['http://www.latimes.com/entertainment/movies/la-et-mn-jane-doe-20180912-story.html', 'http://www.latimes.com/entertainment/movies/la-et-mn-the-predator-shane-black-steven-wilder-striegel-20180906-story.html']",arts-entertainment,,,
gerard depardieu,@Gerard_Depardie,30-Aug-18,"<div class=""info-body"">
<p>Publicly reported
              August 30, 2018</p>
<p>An actress has said he raped her. French authorities are investigating.</p>
</div>","Publicly reported.        August 30, 2018. An actress has said he raped her. French authorities are investigating.",An actress has said he raped her. French authorities are investigating,"['https://www.bbc.com/news/world-europe-45360902', 'https://www.thecut.com/2018/08/gerard-depardieu-rape-accusation-report.html']",arts-entertainment,,,
chase finlay,,28-Aug-18,"<div class=""info-body"">
<p>Publicly reported
              August 28, 2018</p>
<p>A woman said he shared naked pictures of her without her consent. He has left the New York City Ballet.</p>
</div>","Publicly reported.        August 28, 2018. A woman said he shared naked pictures of her without her consent. He has left the New York City Ballet.",A woman said he shared naked pictures of her without her consent. He has left the New York City Ballet,"['https://www.nytimes.com/2018/08/28/arts/dance/in-city-ballet-shake-up-one-dancer-out-and-two-suspended.html', 'http://gothamist.com/2018/09/05/nyc_ballet_lawsuit.php']",arts-entertainment,,,
asia argento,,19-Aug-18,"<div class=""info-body"">
<p>Publicly reported
              August 19, 2018</p>
<p>A man says she sexually assaulted him when he was 17. She has been fired from X Factor Italy.</p>
</div>","Publicly reported.        August 19, 2018. A man says she sexually assaulted him when he was 17. She has been fired from X Factor Italy.",A man says she sexually assaulted him when he was 17. She has been fired from X Factor Italy,"['https://www.nytimes.com/2018/08/19/us/asia-argento-assault-jimmy-bennett.html', 'https://www.hollywoodreporter.com/news/asia-argento-accuser-jimmy-bennett-statement-sexual-assault-claim-1136667?utm_source=twitter', 'http://www.tmz.com/2018/08/27/asia-argento-fired-x-factor-italy-sexual-assault-statutory-rape/']",arts-entertainment,,,
rick day,@rickdaynyc,24-Jul-18,"<div class=""info-body"">
<p>Publicly reported
              July 24, 2018</p>
<p>Multiple men have reported sexual assault or other sexual misconduct by Day during photo shoots.</p>
</div>","Publicly reported.        July 24, 2018. Multiple men have reported sexual assault or other sexual misconduct by Day during photo shoots.",Multiple men have reported sexual assault or other sexual misconduct by Day during photo shoots,"['https://www.gaystarnews.com/article/gay-twin-models-accuse-top-photographer-rick-day-sexual-assault/#gs.Eq88fT8', 'https://hornet.com/stories/rick-day-sexual-assault/']",arts-entertainment,,,
chris hardwick,@hardwick,14-Jun-18,"<div class=""info-body"">
<p>Publicly reported
              June 14, 2018</p>
<p>A woman has said he sexually assaulted and emotionally abused her. AMC suspended his show, but has reinstated it after an investigation.</p>
</div>","Publicly reported.        June 14, 2018. A woman has said he sexually assaulted and emotionally abused her. AMC suspended his show, but has reinstated it after an investigation.","A woman has said he sexually assaulted and emotionally abused her. AMC suspended his show, but has reinstated it after an investigation","['https://medium.com/@skydart/rose-colored-glasses-6be0594970ca', 'https://www.hollywoodreporter.com/live-feed/chris-hardwick-will-return-talking-dead-amc-investigation-1129835', 'https://www.cnn.com/2018/06/17/entertainment/chris-hardwick-chloe-dykstra-allegations/index.html']",arts-entertainment,,,
morgan freeman,@morgan_freeman,24-May-18,"<div class=""info-body"">
<p>Publicly reported
              May 24, 2018</p>
<p>Eight women have alleged sexual harassment and “inappropriate behavior,” including sexually charged remarks and unwanted touching.</p>
</div>","Publicly reported.        May 24, 2018. Eight women have alleged sexual harassment and “inappropriate behavior,” including sexually charged remarks and unwanted touching.","Eight women have alleged sexual harassment and “inappropriate behavior,” including sexually charged remarks and unwanted touching",['https://www.cnn.com/2018/05/24/entertainment/morgan-freeman-accusations/index.html'],arts-entertainment,,,
luc besson,@lucbesson,19-May-18,"<div class=""info-body"">
<p>Publicly reported
              May 19, 2018</p>
<p>Multiple people have said he raped, sexually assaulted, or sexually harassed them. French police are investigating the rape allegation.</p>
</div>","Publicly reported.        May 19, 2018. Multiple people have said he raped, sexually assaulted, or sexually harassed them. French police are investigating the rape allegation.","Multiple people have said he raped, sexually assaulted, or sexually harassed them. French police are investigating the rape allegation","['https://variety.com/2018/film/news/luc-besson-europacorp-allegations-sexual-assaults-harassment-france-1202869487/', 'https://www.hollywoodreporter.com/news/luc-besson-accused-rape-report-1113429']",arts-entertainment,,,
